id;Sector;Category;name;fed_okr;region;authority
110161;Arts;Sectoral;Белгородский государственный институт искусств и культуры;Центральный федеральный округ;Белгородская область;Муниципалитеты и субъекты РФ
17;;National Research;Белгородский государственный национальный исследовательский университет;Центральный федеральный округ;Белгородская область;Министерство науки и высшего образования Российской Федерации
16;;Federal and Flagship;Белгородский государственный технологический университет им. В.Г. Шухова;Центральный федеральный округ;Белгородская область;Министерство науки и высшего образования Российской Федерации
1675;Agricultural;Sectoral;Белгородский государственный аграрный университет имени В.Я. Горина;Центральный федеральный округ;Белгородская область;Министерство сельского хозяйства Российской Федерации
24;Technical;Sectoral;Брянский государственный инженерно-технологический университет;Центральный федеральный округ;Брянская область;Министерство науки и высшего образования Российской Федерации
25;Technical;Sectoral;Брянский государственный технический университет;Центральный федеральный округ;Брянская область;Министерство науки и высшего образования Российской Федерации
1772;Agricultural;Sectoral;Брянский государственный аграрный университет;Центральный федеральный округ;Брянская область;Министерство сельского хозяйства Российской Федерации
26;;Calssic;Брянский государственный университет имени академика И.Г. Петровского;Центральный федеральный округ;Брянская область;Министерство науки и высшего образования Российской Федерации
30;;Federal and Flagship;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;Центральный федеральный округ;Владимирская область;Министерство науки и высшего образования Российской Федерации
101;Technical;Sectoral;Ковровская государственная технологическая академия имени В.А. Дегтярева;Центральный федеральный округ;Владимирская область;Министерство науки и высшего образования Российской Федерации
110169;Social Sciences and Humanities;Sectoral;Воронежский институт экономики и социального управления;Центральный федеральный округ;Воронежская область;Муниципалитеты и субъекты РФ
1650;Agricultural;Sectoral;Воронежский государственный аграрный университет имени императора Петра I;Центральный федеральный округ;Воронежская область;Министерство сельского хозяйства Российской Федерации
43;Pedagogical;Sectoral;Воронежский государственный педагогический университет;Центральный федеральный округ;Воронежская область;Министерство просвещения Российской Федерации
45;;Calssic;Воронежский государственный университет;Центральный федеральный округ;Воронежская область;Министерство науки и высшего образования Российской Федерации
1762;Sport;Sectoral;Воронежская государственная академия спорта;Центральный федеральный округ;Воронежская область;Министерство спорта Российской Федерации
1653;Arts;Sectoral;Воронежский государственный институт искусств;Центральный федеральный округ;Воронежская область;Министерство культуры Российской Федерации
